Titulo,Ubicación,Valoración,Número de comentarios,Puntuación,Distancia del cento,Condiciones del alojamiento,Situación,Precio anterior,Precio actual
Magatzem 128,"Eixample, Barcelona",Fabuloso ,1.435 comentarios,"8,8","a 1,5 km del centro",Habitación Individual Económica,,,€ 129
Chic & Basic Born Boutique Hotel,"Ciutat Vella, Barcelona",Bien ,577 comentarios,"7,9",a 1 km del centro,Habitación Doble Pequeña,"Ubicación 9,3",€ 137,€ 97
Mayerling Bisbe Urquinaona,"Eixample, Barcelona",Muy bien ,742 comentarios,"8,1",a 400 m del centro,Estudio,"Ubicación 9,5",€ 119,€ 107
Ohla Eixample,"Eixample, Barcelona",Fabuloso ,1.219 comentarios,"8,9","a 1,4 km del centro",Habitación Doble,"Ubicación 9,4",,€ 325
ME Barcelona,"Eixample, Barcelona",Fantástico ,462 comentarios,"9,2",a 200 m del centro,Habitación Estándar ME,"Ubicación 9,8",€ 366,€ 258
Hostal Mayerling Centro,"Eixample, Barcelona",Bien ,572 comentarios,"7,6",a 400 m del centro,Habitación Doble Estándar,"Ubicación 9,4",€ 82,€ 74
Hostal Paraiso,"Centro de Barcelona, Barcelona",Bien ,804 comentarios,"7,6","a 1,2 km del centro",Cama en habitación compartida mixta de 6 camas,,,€ 20
Hostal Granvia 628,"Eixample, Barcelona",Puntuación ,661 comentarios,"6,0",a 250 m del centro,Habitación Individual con ducha y aseo compartidos,,,€ 33
Arc House Barcelona,"Sant Martí, Barcelona",Puntuación ,1.117 comentarios,"6,4","a 1,3 km del centro",Litera en una habitación compartida femenina de 6 camas,,,€ 20
Kabul Party Hostel Barcelona,"Ciutat Vella, Barcelona",Muy bien ,2.797 comentarios,"8,4","a 0,9 km del centro",Cama individual en dormitorio compartido mixto de 22 camas,"Ubicación 9,6",,€ 23
Don Moustache Boutique Hostel,"Eixample, Barcelona",Bien ,698 comentarios,"7,9","a 0,7 km del centro",Cama Individual en habitación compartida para mujeres de 14 camas,,,€ 26
Bed and Bike Barcelona,"Eixample, Barcelona",Fabuloso ,314 comentarios,"8,6","a 1,2 km del centro",Cama en habitación compartida mixta - 12 camas,,,€ 25
Alojamiento Roger,"Eixample, Barcelona",Puntuación ,50 comentarios,"6,2","a 0,9 km del centro",Habitación Doble Económica - 2 camas,,,€ 58
Nuevo Aragó Habitaciones,"Eixample, Barcelona",Puntuación ,62 comentarios,"6,0","a 1,5 km del centro",Habitación Individual,,,€ 53
Feetup Yellow Nest Hostel Barcelona,"Les Corts, Barcelona",Bien ,479 comentarios,"7,8",a 4 km del centro,Cama en habitación compartida femenina de 10 camas,,,€ 19
Rooms Arago,"Eixample, Barcelona",Puntuación ,165 comentarios,"6,5","a 1,5 km del centro",Habitación Doble - 2 camas,,,€ 51
Hostal Baler,"Sants-Montjuïc, Barcelona",Bien ,1.215 comentarios,"7,9","a 2,5 km del centro",Habitación Individual,,,€ 53
Bed & breakfast vegan en acogedor apartamento en el centro de barcelona,"Ciutat Vella, Barcelona",,,,"a 0,6 km del centro",Habitación Doble Pequeña,,,€ 60
Exe Laietana Palace,"Ciutat Vella, Barcelona",Bien ,1.196 comentarios,"7,8","a 0,9 km del centro",Habitación Doble Económica - 1 o 2 camas,"Ubicación 9,3",,€ 76
Vale Suites,"Eixample, Barcelona",Fantástico ,336 comentarios,"9,0",a 1 km del centro,Apartamento Deluxe de 2 dormitorios con terraza,,€ 284,€ 242
Hostel One Batlló,"Eixample, Barcelona",Fantástico ,319 comentarios,"9,3","a 0,9 km del centro",Cama en habitación compartida mixta de 10 camas,"Ubicación 9,5",,€ 30
Sant Jordi Hostels Sagrada Familia,"Sant Martí, Barcelona",Muy bien ,1.168 comentarios,"8,5","a 2,6 km del centro",Cama en habitación compartida mixta - 12 camas,,,€ 26
Urbany Hostel Barcelona,"Sant Martí, Barcelona",Bien ,827 comentarios,"7,3","a 2,6 km del centro",Cama en habitación compartida de 8 camas,,,€ 16
Rocket Hostels Gracia,"Gracia, Barcelona",Muy bien ,567 comentarios,"8,4","a 3,1 km del centro",Cama individual en dormitorio compartido mixto de 16 camas ,,,€ 22
Putxet by gaiarooms,"Sarrià-Sant Gervasi, Barcelona",Puntuación ,383 comentarios,"5,1",a 3 km del centro,Habitación Doble Económica,,,€ 66
Magatzem 128,"Eixample, Barcelona",Fabuloso ,1.435 comentarios,"8,8","a 1,5 km del centro",Habitación Individual Económica,,,€ 129
Chic & Basic Born Boutique Hotel,"Ciutat Vella, Barcelona",Bien ,577 comentarios,"7,9",a 1 km del centro,Habitación Doble Pequeña,"Ubicación 9,3",€ 137,€ 97
Mayerling Bisbe Urquinaona,"Eixample, Barcelona",Muy bien ,742 comentarios,"8,1",a 400 m del centro,Estudio,"Ubicación 9,5",€ 119,€ 107
Ohla Eixample,"Eixample, Barcelona",Fabuloso ,1.219 comentarios,"8,9","a 1,4 km del centro",Habitación Doble,"Ubicación 9,4",,€ 325
ME Barcelona,"Eixample, Barcelona",Fantástico ,462 comentarios,"9,2",a 200 m del centro,Habitación Estándar ME,"Ubicación 9,8",€ 366,€ 258
Hostal Mayerling Centro,"Eixample, Barcelona",Bien ,572 comentarios,"7,6",a 400 m del centro,Habitación Doble Estándar,"Ubicación 9,4",€ 82,€ 74
Hostal Paraiso,"Centro de Barcelona, Barcelona",Bien ,804 comentarios,"7,6","a 1,2 km del centro",Cama en habitación compartida mixta de 6 camas,,,€ 20
Hostal Granvia 628,"Eixample, Barcelona",Puntuación ,661 comentarios,"6,0",a 250 m del centro,Habitación Individual con ducha y aseo compartidos,,,€ 33
Arc House Barcelona,"Sant Martí, Barcelona",Puntuación ,1.117 comentarios,"6,4","a 1,3 km del centro",Litera en una habitación compartida femenina de 6 camas,,,€ 20
Kabul Party Hostel Barcelona,"Ciutat Vella, Barcelona",Muy bien ,2.797 comentarios,"8,4","a 0,9 km del centro",Cama individual en dormitorio compartido mixto de 22 camas,"Ubicación 9,6",,€ 23
Don Moustache Boutique Hostel,"Eixample, Barcelona",Bien ,698 comentarios,"7,9","a 0,7 km del centro",Cama Individual en habitación compartida para mujeres de 14 camas,,,€ 26
Bed and Bike Barcelona,"Eixample, Barcelona",Fabuloso ,314 comentarios,"8,6","a 1,2 km del centro",Cama en habitación compartida mixta - 12 camas,,,€ 25
Alojamiento Roger,"Eixample, Barcelona",Puntuación ,50 comentarios,"6,2","a 0,9 km del centro",Habitación Doble Económica - 2 camas,,,€ 58
Nuevo Aragó Habitaciones,"Eixample, Barcelona",Puntuación ,62 comentarios,"6,0","a 1,5 km del centro",Habitación Individual,,,€ 53
Feetup Yellow Nest Hostel Barcelona,"Les Corts, Barcelona",Bien ,479 comentarios,"7,8",a 4 km del centro,Cama en habitación compartida femenina de 10 camas,,,€ 19
Rooms Arago,"Eixample, Barcelona",Puntuación ,165 comentarios,"6,5","a 1,5 km del centro",Habitación Doble - 2 camas,,,€ 51
Hostal Baler,"Sants-Montjuïc, Barcelona",Bien ,1.215 comentarios,"7,9","a 2,5 km del centro",Habitación Individual,,,€ 53
Bed & breakfast vegan en acogedor apartamento en el centro de barcelona,"Ciutat Vella, Barcelona",,,,"a 0,6 km del centro",Habitación Doble Pequeña,,,€ 60
Exe Laietana Palace,"Ciutat Vella, Barcelona",Bien ,1.196 comentarios,"7,8","a 0,9 km del centro",Habitación Doble Económica - 1 o 2 camas,"Ubicación 9,3",,€ 76
Vale Suites,"Eixample, Barcelona",Fantástico ,336 comentarios,"9,0",a 1 km del centro,Apartamento Deluxe de 2 dormitorios con terraza,,€ 284,€ 242
Hostel One Batlló,"Eixample, Barcelona",Fantástico ,319 comentarios,"9,3","a 0,9 km del centro",Cama en habitación compartida mixta de 10 camas,"Ubicación 9,5",,€ 30
Sant Jordi Hostels Sagrada Familia,"Sant Martí, Barcelona",Muy bien ,1.168 comentarios,"8,5","a 2,6 km del centro",Cama en habitación compartida mixta - 12 camas,,,€ 26
Urbany Hostel Barcelona,"Sant Martí, Barcelona",Bien ,827 comentarios,"7,3","a 2,6 km del centro",Cama en habitación compartida de 8 camas,,,€ 16
Rocket Hostels Gracia,"Gracia, Barcelona",Muy bien ,567 comentarios,"8,4","a 3,1 km del centro",Cama individual en dormitorio compartido mixto de 16 camas ,,,€ 22
Putxet by gaiarooms,"Sarrià-Sant Gervasi, Barcelona",Puntuación ,383 comentarios,"5,1",a 3 km del centro,Habitación Doble Económica,,,€ 66
Magatzem 128,"Eixample, Barcelona",Fabuloso ,1.435 comentarios,"8,8","a 1,5 km del centro",Habitación Individual Económica,,,€ 129
Chic & Basic Born Boutique Hotel,"Ciutat Vella, Barcelona",Bien ,577 comentarios,"7,9",a 1 km del centro,Habitación Doble Pequeña,"Ubicación 9,3",€ 137,€ 97
Mayerling Bisbe Urquinaona,"Eixample, Barcelona",Muy bien ,742 comentarios,"8,1",a 400 m del centro,Estudio,"Ubicación 9,5",€ 119,€ 107
Ohla Eixample,"Eixample, Barcelona",Fabuloso ,1.219 comentarios,"8,9","a 1,4 km del centro",Habitación Doble,"Ubicación 9,4",,€ 325
ME Barcelona,"Eixample, Barcelona",Fantástico ,462 comentarios,"9,2",a 200 m del centro,Habitación Estándar ME,"Ubicación 9,8",€ 366,€ 258
Hostal Mayerling Centro,"Eixample, Barcelona",Bien ,572 comentarios,"7,6",a 400 m del centro,Habitación Doble Estándar,"Ubicación 9,4",€ 82,€ 74
Hostal Paraiso,"Centro de Barcelona, Barcelona",Bien ,804 comentarios,"7,6","a 1,2 km del centro",Cama en habitación compartida mixta de 6 camas,,,€ 20
Hostal Granvia 628,"Eixample, Barcelona",Puntuación ,661 comentarios,"6,0",a 250 m del centro,Habitación Individual con ducha y aseo compartidos,,,€ 33
Arc House Barcelona,"Sant Martí, Barcelona",Puntuación ,1.117 comentarios,"6,4","a 1,3 km del centro",Litera en una habitación compartida femenina de 6 camas,,,€ 20
Kabul Party Hostel Barcelona,"Ciutat Vella, Barcelona",Muy bien ,2.797 comentarios,"8,4","a 0,9 km del centro",Cama individual en dormitorio compartido mixto de 22 camas,"Ubicación 9,6",,€ 23
Don Moustache Boutique Hostel,"Eixample, Barcelona",Bien ,698 comentarios,"7,9","a 0,7 km del centro",Cama Individual en habitación compartida para mujeres de 14 camas,,,€ 26
Bed and Bike Barcelona,"Eixample, Barcelona",Fabuloso ,314 comentarios,"8,6","a 1,2 km del centro",Cama en habitación compartida mixta - 12 camas,,,€ 25
Alojamiento Roger,"Eixample, Barcelona",Puntuación ,50 comentarios,"6,2","a 0,9 km del centro",Habitación Doble Económica - 2 camas,,,€ 58
Nuevo Aragó Habitaciones,"Eixample, Barcelona",Puntuación ,62 comentarios,"6,0","a 1,5 km del centro",Habitación Individual,,,€ 53
Feetup Yellow Nest Hostel Barcelona,"Les Corts, Barcelona",Bien ,479 comentarios,"7,8",a 4 km del centro,Cama en habitación compartida femenina de 10 camas,,,€ 19
Rooms Arago,"Eixample, Barcelona",Puntuación ,165 comentarios,"6,5","a 1,5 km del centro",Habitación Doble - 2 camas,,,€ 51
Hostal Baler,"Sants-Montjuïc, Barcelona",Bien ,1.215 comentarios,"7,9","a 2,5 km del centro",Habitación Individual,,,€ 53
Bed & breakfast vegan en acogedor apartamento en el centro de barcelona,"Ciutat Vella, Barcelona",,,,"a 0,6 km del centro",Habitación Doble Pequeña,,,€ 60
Exe Laietana Palace,"Ciutat Vella, Barcelona",Bien ,1.196 comentarios,"7,8","a 0,9 km del centro",Habitación Doble Económica - 1 o 2 camas,"Ubicación 9,3",,€ 76
Vale Suites,"Eixample, Barcelona",Fantástico ,336 comentarios,"9,0",a 1 km del centro,Apartamento Deluxe de 2 dormitorios con terraza,,€ 284,€ 242
Hostel One Batlló,"Eixample, Barcelona",Fantástico ,319 comentarios,"9,3","a 0,9 km del centro",Cama en habitación compartida mixta de 10 camas,"Ubicación 9,5",,€ 30
Sant Jordi Hostels Sagrada Familia,"Sant Martí, Barcelona",Muy bien ,1.168 comentarios,"8,5","a 2,6 km del centro",Cama en habitación compartida mixta - 12 camas,,,€ 26
Urbany Hostel Barcelona,"Sant Martí, Barcelona",Bien ,827 comentarios,"7,3","a 2,6 km del centro",Cama en habitación compartida de 8 camas,,,€ 16
Rocket Hostels Gracia,"Gracia, Barcelona",Muy bien ,567 comentarios,"8,4","a 3,1 km del centro",Cama individual en dormitorio compartido mixto de 16 camas ,,,€ 22
Putxet by gaiarooms,"Sarrià-Sant Gervasi, Barcelona",Puntuación ,383 comentarios,"5,1",a 3 km del centro,Habitación Doble Económica,,,€ 66
